Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
,,,,RT,,,,,,,,,,,,,,,,,,None_None
"Macík, Ondřej (CZE) (2001)","Repechage 1 - 2024 Olympic Games (Paris, FRA)",4 / 5,1.0 m/s,06-Aug-24,0.145,6.11,10.89,15.85,21.14,21.14,10.89,10.25,-0.64,8.18,10.46,10.08,9.45,9.18,9.76,90.0,,"Macík, Ondřej (CZE) (2001)_Repechage 1 - 2024 Olympic Games (Paris, FRA)_90"
"Macík, Ondřej (CZE) (2001)","Heat 4 - 2024 Olympic Games (Paris, FRA)",6 / 6,0.2 m/s,05-Aug-24,0.159,6.04,10.76,15.69,21.04,21.04,10.76,10.28,-0.48,8.28,10.59,10.14,9.35,9.29,9.73,90.0,Seiko Timing (2023) - world championship race analysis,"Macík, Ondřej (CZE) (2001)_Heat 4 - 2024 Olympic Games (Paris, FRA)_90"
"Macík, Ondřej (CZE) (2001)","Semi-Final 1 - 2023 World Athletics Championships (Budapest, HUN)",5 / 8,-0.1 m/s,24-Aug-23,0.137,10.66,20.71,20.71,58.0,58.0,20.71,37.29,16.58,9.38,9.95,9.66,191.0,4.83,2.68,,Seiko Timing (2023) - world championship race analysis,"Macík, Ondřej (CZE) (2001)_Semi-Final 1 - 2023 World Athletics Championships (Budapest, HUN)"
"Macík, Ondřej (CZE) (2001)","Heat 2 - 2023 World Athletics Championships (Budapest, HUN)",9 / 3,-0.1 m/s,23-Aug-23,0.149,10.64,20.4,20.4,93.0,93.0,20.4,72.6,52.2,9.4,10.25,9.8,90.0,4.9,1.38,90.0,Seiko Timing (2023) - world championship race analysis,"Macík, Ondřej (CZE) (2001)_Heat 2 - 2023 World Athletics Championships (Budapest, HUN)_90"
"Maeda, Natsuki (JPN) (2002)","A FINAL - 2020 Japanese High School National Championships (Hiroshima, JPN)",7 / 4,1.0 m/s,25-Oct-20,0.167,6.01,10.78,15.8,21.15,21.15,10.78,10.37,-0.41,8.32,10.48,9.96,9.35,9.28,9.64,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Maeda, Natsuki (JPN) (2002)_A FINAL - 2020 Japanese High School National Championships (Hiroshima, JPN)"
"Maeda, Natsuki (JPN) (2002)","Heat 5 - 2020 Japanese High School National Championships (Hiroshima, JPN)",7 / 1,-0.2 m/s,25-Oct-20,0.157,5.96,10.74,15.84,21.41,21.41,10.74,10.67,-0.07,8.39,10.46,9.8,8.98,9.31,9.37,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Maeda, Natsuki (JPN) (2002)_Heat 5 - 2020 Japanese High School National Championships (Hiroshima, JPN)"
"Mafe, Ade (GBR) (1966)","FINAL - 1984 Olympic Games (Los Angeles, CA)",1 / 8,-0.9 m/s,08-Aug-84,0.195,10.69,20.85,20.85,18.0,18.0,20.85,-2.85,-23.7,9.35,9.84,9.59,9.35,4.8,,,,"Mafe, Ade (GBR) (1966)_FINAL - 1984 Olympic Games (Los Angeles, CA)"
"Mafe, Ade (GBR) (1966)","Semi-Final 2 - 1984 Olympic Games (Los Angeles, CA)",8 / 3,0.7 m/s,08-Aug-84,,10.58,20.63,20.63,83.0,83.0,20.63,62.37,41.74,9.45,9.95,9.69,9.45,4.85,1.6,,,"Mafe, Ade (GBR) (1966)_Semi-Final 2 - 1984 Olympic Games (Los Angeles, CA)"
"Magakwe, Simon (RSA) (1985)","B FINAL - 2013 Windsprint (Sundsvall, SWE)",6 / 3,3.1 m/s,28-Jul-13,,10.86,15.7,20.93,20.93,63.0,15.7,5.23,-10.47,9.21,10.33,9.56,9.56,6.37,19.12,,(2013) - www.ssg.se/windsprint/Splittider/,"Magakwe, Simon (RSA) (1985)_B FINAL - 2013 Windsprint (Sundsvall, SWE)"
"Maganga Gorra, Guy (GAB) (1993)","Heat 6 - 2023 World Athletics Championships (Budapest, HUN)",2 / 7,-0.5 m/s,23-Aug-23,0.178,10.92,21.04,21.04,27.0,27.0,21.04,5.96,-15.08,9.16,9.88,9.51,88.7,4.75,16.78,,Seiko Timing (2023) - world championship race analysis,"Maganga Gorra, Guy (GAB) (1993)_Heat 6 - 2023 World Athletics Championships (Budapest, HUN)"
"Maganga Gorra, Guy (GAB) (1993)","Semi-Final 2 - 2022 World Athletics Championships (Eugene, OR)",8 / 8,1.1 m/s,19-Jul-22,0.165,10.79,20.65,20.65,88.0,88.0,20.65,67.35,46.7,9.27,10.14,9.69,86.5,4.84,1.48,,Timing by Seiko (2022) - world athletics championships race analysis,"Maganga Gorra, Guy (GAB) (1993)_Semi-Final 2 - 2022 World Athletics Championships (Eugene, OR)"
"Maganga Gorra, Guy (GAB) (1993)","Heat 6 - 2022 World Athletics Championships (Eugene, OR)",8 / 2,1.0 m/s,18-Jul-22,0.15,10.65,20.44,20.44,82.0,82.0,20.44,61.56,41.12,9.39,10.21,9.78,89.0,4.89,1.62,89.0,Timing by Seiko (2022) - world athletics championships race analysis,"Maganga Gorra, Guy (GAB) (1993)_Heat 6 - 2022 World Athletics Championships (Eugene, OR)_89"
