,Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
1564,"Miwa, Sota (JPN) (2002)","A FINAL - 2020 Japanese High School National Championships (Hiroshima, JPN)",6 / 1,1.0 m/s,25-Oct-20,0.162,5.95,10.69,15.64,20.88,20.88,10.69,10.19,-0.5,8.4,10.55,10.1,9.54,9.35,9.81,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Miwa, Sota (JPN) (2002)_A FINAL - 2020 Japanese High School National Championships (Hiroshima, JPN)"
1565,"Miwa, Sota (JPN) (2002)","Heat 1 - 2020 Japanese High School National Championships (Hiroshima, JPN)",4 / 1,1.6 m/s,25-Oct-20,0.175,5.98,10.77,15.82,21.17,21.17,10.77,10.4,-0.37,8.36,10.44,9.9,9.35,9.29,9.62,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Miwa, Sota (JPN) (2002)_Heat 1 - 2020 Japanese High School National Championships (Hiroshima, JPN)"
1566,"Miyamoto, Daisuke (JPN) (1999)","Heat 3 - 2018 Shizuoka International Meeting (Fukuroi, JPN)",9 / 6,-0.2 m/s,03-May-18,0.16,5.89,10.68,15.7,21.13,21.13,10.68,10.45,-0.23,8.49,10.44,9.96,9.21,9.36,9.57,97.0,,"Miyamoto, Daisuke (JPN) (1999)_Heat 3 - 2018 Shizuoka International Meeting (Fukuroi, JPN)_97"
1567,"Miyamoto, Daisuke (JPN) (1999)","FINAL - 2017 Japanese National High School Championships (Yamagata, JPN)",5 / 4,0.5 m/s,01-Aug-17,0.178,5.87,10.79,15.8,21.18,21.18,10.79,10.39,-0.4,8.52,10.16,9.98,9.29,9.27,9.62,,,"Miyamoto, Daisuke (JPN) (1999)_FINAL - 2017 Japanese National High School Championships (Yamagata, JPN)"
1568,"Miyawaki, Akira (JPN) (2006)","FINAL - 2024 Japanese National High School Championsips (Fukuoka, JPN)",6 / 3,0.1 m/s,31-Jul-24,0.184,5.94,10.74,15.66,20.91,20.91,10.74,10.17,-0.57,8.42,10.42,10.16,9.52,9.31,9.83,,,"Miyawaki, Akira (JPN) (2006)_FINAL - 2024 Japanese National High School Championsips (Fukuoka, JPN)"
1569,"Mizukubo, Soshi (JPN) (1999)","FINAL - 2023 Japanese National Championsips (Osaka, JPN)",4 / 3,-0.2 m/s,02-Jun-23,0.17,5.86,10.48,15.39,20.66,20.66,10.48,10.18,-0.3,8.53,10.82,10.18,9.49,9.54,9.82,92.0,,"Mizukubo, Soshi (JPN) (1999)_FINAL - 2023 Japanese National Championsips (Osaka, JPN)_92"
1570,"Mizukubo, Soshi (JPN) (1999)","FINAL - 2016 Japanese National High School Championships (Okayama, JPN)",5 / 5,-0.1 m/s,01-Aug-16,0.152,5.87,10.79,15.83,21.22,21.22,10.79,10.43,-0.36,8.52,10.16,9.92,9.28,9.27,9.59,,,"Mizukubo, Soshi (JPN) (1999)_FINAL - 2016 Japanese National High School Championships (Okayama, JPN)"
1571,"Moen, Geir (NOR) (1969)","Semi-Final 1 - 2002 European Championships (Munich, GER)",/ 8,-0.5 m/s,09-Aug-02,0.149,6.11,10.93,15.9,21.21,21.21,10.93,10.28,-0.65,8.18,10.37,10.06,9.42,9.15,9.73,,Graubner (2009) - http://www.fgs.uni-halle.de,"Moen, Geir (NOR) (1969)_Semi-Final 1 - 2002 European Championships (Munich, GER)"
1572,"Moen, Geir (NOR) (1969)","Quarter-Final 2 - 2002 European Championships (Munich, GER)",/ 4,-0.8 m/s,08-Aug-02,0.131,5.92,10.58,15.44,20.86,20.85,10.58,10.28,-0.3,8.45,10.73,10.29,9.23,9.45,9.73,,Graubner (2009) - http://www.fgs.uni-halle.de,"Moen, Geir (NOR) (1969)_Quarter-Final 2 - 2002 European Championships (Munich, GER)"
1573,"Moen, Geir (NOR) (1969)",FINAL - 1997 European Cup (Munich GER),/ 3,0.7 m/s,22-Jun-97,,5.92,10.57,15.39,20.6,20.6,10.57,10.03,-0.54,8.45,10.75,10.37,9.6,9.46,9.97,,Federle (2009) - http://www.fgs.uni-halle.de,"Moen, Geir (NOR) (1969)_FINAL - 1997 European Cup (Munich GER)"
1574,"Mogami, Koki (JPN) (1996)","FINAL - 2014 Japanese National High School Championships (Kofu, JPN)",7 / 7,-1.6 m/s,02-Aug-14,,6.02,11.04,16.15,21.58,21.58,11.04,10.54,-0.5,8.31,9.96,9.78,9.21,9.06,9.49,,,"Mogami, Koki (JPN) (1996)_FINAL - 2014 Japanese National High School Championships (Kofu, JPN)"
1575,"Mohamed, Abdulaziz (QAT) (2001)","FINAL - 2020 Doha Diamond League (Doha, QAT)",8 / 6,0.9 m/s,25-Sep-20,0.143,6.0,10.6,15.5,20.88,20.88,10.6,10.28,-0.32,8.33,10.87,10.2,9.29,9.43,9.73,,Omega Timing (2020) - diamond league race analysis,"Mohamed, Abdulaziz (QAT) (2001)_FINAL - 2020 Doha Diamond League (Doha, QAT)"
1576,"Mokdasi, Andreas (SWE) (1984)","C FINAL - 2008 Windsprint (Sundsvall, SWE)",2 / 3,0.8 m/s,06-Jul-08,,11.21,16.41,21.9,21.9,23.0,16.41,5.49,-10.92,8.92,9.62,9.11,9.13,6.09,18.21,,(2008) - www.ssg.se/en/Windsprint/Split-times/,"Mokdasi, Andreas (SWE) (1984)_C FINAL - 2008 Windsprint (Sundsvall, SWE)"
1577,"Mokdasi, Andreas (SWE) (1984)","B FINAL - 2007 Windsprint (Sundsvall, SWE)",5 / 1,0.9 m/s,24-Jul-07,,11.1,16.13,21.51,21.51,51.0,16.13,5.38,-10.75,9.01,9.94,9.29,9.3,6.2,18.59,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Mokdasi, Andreas (SWE) (1984)_B FINAL - 2007 Windsprint (Sundsvall, SWE)"
1578,"Molnár, Tamás (HUN) (1968)","FINAL - 1991 European Cup (Frankfurt, GER)",/ 8,-1.6 m/s,30-Jun-91,,10.93,21.39,21.39,8.0,8.0,21.39,-13.39,-34.78,9.15,9.56,9.35,9.15,4.68,,,Federle (2003) - http://www.fgs.uni-halle.de,"Molnár, Tamás (HUN) (1968)_FINAL - 1991 European Cup (Frankfurt, GER)"
1579,"Moore, Carlos (USA) (1984)","FINAL - 2003 USATF National Junior Championships (Palo Alto, CA)",7 / 4,-1.8 m/s,21-Jun-03,,6.0,10.76,15.72,21.26,21.26,10.76,10.5,-0.26,8.33,10.5,10.08,9.03,9.29,9.52,,,"Moore, Carlos (USA) (1984)_FINAL - 2003 USATF National Junior Championships (Palo Alto, CA)"
1580,"Moore, Carlos (USA) (1984)","FINAL - 2017 Japanese National High School Championships (Yamagata, JPN)",2 / 8,0.5 m/s,01-Aug-17,0.145,6.14,11.28,16.64,22.85,22.85,11.28,11.57,0.29,8.14,9.73,9.33,8.05,8.87,8.64,,,"Moore, Carlos (USA) (1984)_FINAL - 2017 Japanese National High School Championships (Yamagata, JPN)"
1581,"Morrow, Elijah (USA) (1995)","Semi-Final 2 - 2024 USA Olympic Trials (Eugene, OR)",1 / 7,0.7 m/s,28-Jun-24,,6.02,10.75,15.6,20.66,20.66,10.75,9.91,-0.84,8.31,10.57,10.31,9.88,9.3,10.09,92.0,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Morrow, Elijah (USA) (1995)_Semi-Final 2 - 2024 USA Olympic Trials (Eugene, OR)_92"
1582,"Morrow, Elijah (USA) (1995)","Heat 2 - 2024 USA Olympic Trials (Eugene, OR)",5 / 7,0.0 m/s,27-Jun-24,,5.9,10.68,15.61,20.93,20.93,10.68,10.25,-0.43,8.47,10.46,10.14,9.4,9.36,9.76,93.0,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Morrow, Elijah (USA) (1995)_Heat 2 - 2024 USA Olympic Trials (Eugene, OR)_93"
